keypoints,iteration_number,delta_loop,delta_interference,delta_extract_featurepoints,dp,delta_camera,lin_factor
"[[200, 196], [262, 200], [219, 202], [239, 203], [229, 204], [242, 193], [204, 204], [267, 193]]",60,0.135785,0.023483,0.027443,"[ 5.15671801e-03 -5.77542891e-03 -1.27423969e-05  9.19676739e-08
  3.72157350e-08  6.86474414e-06]",0.068766,0
"[[199, 197], [262, 201], [219, 204], [239, 204], [229, 205], [243, 195], [204, 205], [266, 194]]",61,0.133489,0.023601,0.027769,"[ 5.01225333e-03 -3.69489489e-03 -2.33775278e-06  4.90354777e-08
  1.03198169e-07 -8.39448599e-06]",0.066311,0
"[[199, 197], [261, 202], [218, 204], [239, 205], [229, 206], [242, 196], [203, 206], [265, 194]]",62,0.134061,0.025001,0.028792,"[ 5.20794440e-03 -6.69230254e-03 -2.43586522e-06 -1.73165123e-07
 -3.93440067e-09  2.08356183e-05]",0.066472,0
"[[199, 198], [260, 203], [219, 205], [239, 206], [229, 206], [243, 196], [203, 206], [265, 195]]",63,0.138814,0.025193,0.028937,"[ 5.62317582e-03 -1.16311860e-02 -3.45163964e-05 -3.47929898e-08
 -2.07904442e-07  6.61580537e-05]",0.073014,0
"[[198, 198], [259, 202], [217, 205], [238, 206], [228, 206], [240, 195], [202, 207], [264, 195]]",64,0.128569,0.025325,0.029112,"[ 4.63402166e-03 -7.98688970e-03 -1.24043648e-05 -1.76753314e-07
 -1.00373305e-07  3.11497743e-05]",0.056849,0
"[[197, 199], [259, 203], [217, 206], [237, 206], [227, 207], [240, 197], [201, 208], [264, 196]]",65,0.134924,0.024006,0.028096,"[ 3.85539276e-03 -5.99837765e-03 -1.88532252e-05  5.36236274e-08
 -2.54818094e-08  1.22483377e-05]",0.066219,0
"[[197, 200], [258, 203], [215, 206], [235, 206], [226, 207], [239, 196], [201, 208], [263, 197]]",66,0.133342,0.023274,0.027779,"[ 4.21578920e-03 -6.59944031e-03 -3.76008748e-05  2.88612462e-07
 -9.90715005e-08  2.22532057e-05]",0.066357,0
"[[196, 200], [258, 205], [216, 207], [236, 208], [226, 208], [239, 198], [200, 209], [263, 197]]",67,0.134737,0.024957,0.029091,"[ 3.98570375e-03 -8.17520035e-03 -1.99672127e-05 -7.42478693e-08
 -8.84153028e-08  3.61598076e-05]",0.066324,0
"[[196, 200], [258, 205], [215, 207], [236, 208], [226, 208], [239, 198], [200, 209], [262, 198]]",68,0.124063,0.0239,0.02869,"[ 4.75882402e-03 -6.44107154e-03 -1.03763351e-05 -6.22141604e-08
 -2.05931381e-08  2.83740486e-05]",0.056507,0
"[[196, 201], [257, 206], [215, 208], [235, 209], [226, 209], [239, 200], [200, 210], [262, 198]]",69,0.134828,0.023995,0.028185,"[ 4.79326107e-03 -7.96984771e-03 -2.61405141e-05  2.33926911e-08
 -1.23574030e-07  4.39511654e-05]",0.067595,0
"[[195, 202], [257, 206], [214, 208], [235, 210], [225, 209], [238, 199], [199, 210], [261, 199]]",70,0.134777,0.024662,0.028516,"[ 4.13753960e-03 -5.25257072e-03 -9.56993929e-06 -4.16764585e-08
 -4.89535625e-09  1.89221496e-05]",0.066231,0
"[[195, 202], [256, 206], [214, 209], [235, 210], [225, 210], [238, 200], [199, 211], [260, 199]]",71,0.135768,0.025132,0.029017,"[ 4.35269493e-03 -6.31010419e-03 -1.30387196e-05 -1.17292657e-07
 -9.58242942e-08  3.08003696e-05]",0.066867,0
"[[194, 203], [255, 207], [213, 209], [234, 210], [224, 211], [237, 200], [198, 211], [260, 200]]",72,0.137823,0.024619,0.031767,"[ 4.03713759e-03 -6.86673746e-03 -2.30597373e-05  1.49650844e-08
 -1.00899207e-07  3.60413202e-05]",0.066334,0
"[[194, 204], [254, 207], [213, 210], [233, 211], [223, 211], [236, 201], [198, 212], [260, 201]]",73,0.126161,0.023404,0.028002,"[ 4.21595632e-03 -4.34481033e-03 -2.99864842e-05  2.56349736e-07
 -7.26600287e-08  1.94913377e-05]",0.055928,0
"[[193, 204], [254, 207], [212, 211], [232, 211], [222, 212], [235, 201], [197, 212], [259, 201]]",74,0.133251,0.023896,0.027697,"[ 3.30338399e-03 -4.71711502e-03 -2.24408002e-05  9.52163964e-08
 -6.74107964e-08  1.81273193e-05]",0.066265,0
"[[193, 205], [254, 209], [213, 212], [233, 212], [223, 213], [236, 203], [198, 213], [259, 202]]",75,0.1337,0.023827,0.027537,"[ 4.43491217e-03 -9.49403550e-04  5.22517351e-06 -4.76113877e-08
  7.04369288e-08 -2.46618183e-06]",0.066373,0
