keypoints,iteration_number,delta_loop,delta_interference,delta_extract_featurepoints,dp,delta_camera,lin_factor
"[[217, 192], [282, 199], [239, 199], [223, 185], [287, 190], [244, 192], [235, 186], [249, 200], [263, 192], [255, 193], [268, 184], [228, 193], [273, 198], [291, 182], [229, 202], [258, 184], [291, 197], [277, 185], [219, 201], [247, 185]]",35,0.136424,0.026016,0.029911,"[ 1.21847067e-02 -4.99460778e-03 -6.23862724e-06  3.14145546e-07
  1.83273197e-07 -2.55132955e-05]",0.067469,0
"[[216, 193], [282, 200], [238, 201], [222, 186], [286, 191], [244, 193], [234, 187], [249, 202], [263, 194], [254, 195], [267, 185], [227, 194], [273, 200], [290, 183], [228, 203], [258, 185], [290, 199], [276, 186], [218, 202], [246, 186]]",36,0.142125,0.028399,0.032132,"[ 1.15506962e-02 -6.69530973e-03 -7.55793035e-06  1.84420304e-07
  1.36255944e-07 -1.06616087e-05]",0.0673,0
"[[214, 194], [280, 201], [236, 201], [221, 187], [284, 192], [241, 194], [232, 188], [247, 202], [262, 194], [252, 195], [265, 186], [225, 195], [271, 201], [288, 184], [226, 204], [255, 186], [289, 200], [274, 187], [216, 202], [245, 187]]",37,0.123204,0.024131,0.028724,"[ 1.16670146e-02 -4.33310392e-03  1.68094539e-06  2.32990509e-07
  2.21629874e-07 -2.45373562e-05]",0.056933,0
"[[213, 195], [279, 201], [235, 202], [220, 188], [283, 192], [241, 195], [231, 188], [245, 203], [260, 195], [251, 196], [264, 186], [224, 196], [269, 201], [288, 184], [225, 205], [254, 187], [288, 200], [273, 188], [215, 203], [244, 187]]",38,0.13128,0.023836,0.027883,"[ 1.00784080e-02 -5.75650542e-03 -1.61974859e-05  3.17670032e-07
  1.31035356e-07 -1.95530089e-05]",0.066553,0
"[[212, 196], [277, 202], [233, 203], [219, 188], [282, 193], [239, 195], [230, 189], [243, 203], [258, 195], [249, 196], [263, 186], [223, 196], [267, 201], [287, 185], [223, 205], [253, 187], [287, 201], [272, 188], [214, 204], [242, 187]]",39,0.134431,0.025265,0.029475,"[ 9.42332386e-03 -7.94579630e-03 -2.95361753e-05  3.69527634e-07
  5.99818425e-08 -1.71658949e-06]",0.067964,0
"[[211, 196], [277, 203], [234, 204], [218, 189], [281, 194], [239, 196], [229, 190], [244, 204], [258, 196], [249, 197], [262, 188], [223, 197], [267, 203], [285, 186], [224, 206], [253, 188], [285, 202], [271, 189], [213, 205], [242, 188]]",40,0.134254,0.024702,0.028547,"[ 1.05789513e-02 -6.57718886e-03 -1.25732030e-05  2.03683935e-07
  9.15199188e-08 -2.33255033e-06]",0.067775,0
"[[210, 197], [276, 204], [233, 205], [217, 190], [280, 195], [238, 197], [228, 191], [243, 206], [258, 198], [248, 199], [261, 189], [221, 198], [267, 204], [284, 187], [222, 207], [252, 189], [285, 203], [270, 190], [212, 206], [241, 190]]",41,0.142496,0.026493,0.033826,"[ 9.79992113e-03 -5.80419553e-03 -9.39767578e-06  1.85169410e-07
  1.27273377e-07 -9.33757850e-06]",0.067193,0
"[[209, 198], [275, 205], [231, 206], [216, 191], [278, 195], [236, 197], [227, 191], [241, 206], [256, 198], [247, 199], [259, 189], [220, 199], [265, 205], [283, 188], [221, 208], [250, 190], [283, 203], [269, 190], [211, 206], [239, 190]]",42,0.123145,0.023916,0.028276,"[ 9.47321241e-03 -5.88747596e-03 -1.24612441e-05  1.96892168e-07
  9.76722855e-08 -6.92946271e-06]",0.056302,0
"[[208, 199], [273, 205], [229, 206], [214, 192], [277, 196], [235, 198], [226, 192], [239, 207], [254, 198], [245, 200], [258, 189], [219, 200], [263, 205], [282, 188], [219, 209], [249, 190], [282, 204], [267, 191], [210, 207], [237, 191]]",43,0.140465,0.025199,0.032746,"[ 8.33612589e-03 -6.29939617e-03 -2.28225245e-05  2.68298965e-07
  5.32970067e-08 -6.80735555e-06]",0.067322,0
"[[206, 200], [271, 206], [228, 207], [213, 192], [276, 197], [233, 199], [224, 193], [237, 208], [252, 199], [243, 200], [257, 190], [217, 201], [261, 206], [280, 189], [218, 210], [247, 191], [280, 205], [266, 192], [209, 208], [236, 191]]",44,0.123087,0.023698,0.027885,"[ 8.06430696e-03 -7.70811712e-03 -2.82177049e-05  2.43536099e-07
 -8.23183472e-10  8.19293300e-06]",0.056921,0
"[[206, 201], [271, 207], [228, 208], [213, 193], [275, 198], [233, 200], [224, 194], [237, 208], [252, 200], [243, 201], [256, 191], [217, 201], [261, 207], [280, 190], [218, 210], [246, 192], [280, 206], [265, 193], [208, 209], [235, 192]]",45,0.132794,0.025363,0.029464,"[ 8.85321614e-03 -4.82878694e-03 -1.12979822e-05  2.02546066e-07
  9.84917063e-08 -7.80269912e-06]",0.066592,0
"[[205, 201], [270, 208], [228, 209], [212, 194], [274, 199], [232, 201], [223, 195], [237, 209], [253, 202], [243, 202], [256, 192], [216, 202], [261, 208], [279, 191], [217, 211], [246, 193], [279, 207], [265, 194], [207, 210], [235, 193]]",46,0.136256,0.026917,0.030939,"[ 8.47061958e-03 -6.05133506e-03 -1.80440437e-05  2.10756514e-07
  6.27818790e-08  3.09482239e-06]",0.068609,0
