keypoints,iteration_number,delta_loop,delta_interference,delta_extract_featurepoints,dp,delta_camera,lin_factor
"[[200, 192], [266, 198], [222, 200], [207, 185], [271, 190], [227, 192], [218, 186], [232, 200], [247, 192], [238, 193], [251, 183], [211, 193], [256, 198], [275, 182], [212, 202], [242, 184], [275, 197], [261, 184], [203, 201], [230, 184]]",50,0.139735,0.025861,0.029893,"[ 5.98192905e-03 -6.79420744e-03 -1.93139024e-05  3.44972020e-07
  1.32368400e-07 -2.11477175e-05]",0.069302,0
"[[200, 193], [266, 199], [222, 200], [207, 186], [270, 190], [227, 192], [218, 186], [232, 201], [247, 192], [238, 194], [251, 184], [211, 194], [256, 199], [275, 182], [212, 203], [242, 184], [275, 198], [260, 185], [202, 201], [230, 185]]",51,0.125676,0.025993,0.030126,"[ 5.86418426e-03 -7.51631126e-03 -2.17489244e-05  3.05220090e-07
  9.53363924e-08 -1.39675416e-05]",0.057291,0
"[[200, 193], [266, 199], [222, 201], [206, 186], [271, 191], [227, 193], [218, 187], [232, 201], [247, 193], [238, 194], [251, 184], [211, 194], [257, 199], [275, 182], [212, 203], [242, 185], [275, 199], [261, 186], [202, 202], [230, 185]]",52,0.135146,0.024966,0.029229,"[ 5.61337498e-03 -7.01164650e-03 -1.80228527e-05  2.89803423e-07
  1.35624157e-07 -1.91393800e-05]",0.066655,0
"[[199, 193], [265, 200], [221, 201], [206, 186], [270, 191], [227, 193], [218, 187], [232, 202], [247, 193], [237, 194], [251, 184], [211, 195], [256, 200], [274, 183], [211, 204], [241, 185], [274, 199], [260, 186], [201, 202], [230, 185]]",53,0.136687,0.028263,0.031987,"[ 5.41418151e-03 -1.05818992e-02 -3.43770453e-05  2.69893744e-07
 -4.87873692e-09  1.20834527e-05]",0.066674,0
"[[199, 194], [265, 201], [222, 202], [206, 187], [269, 191], [226, 193], [217, 187], [232, 202], [247, 194], [237, 195], [250, 185], [211, 195], [256, 201], [274, 184], [211, 204], [240, 185], [274, 199], [259, 186], [202, 203], [229, 186]]",54,0.140734,0.027917,0.034981,"[ 6.19820578e-03 -6.83195420e-03 -8.72761053e-06  1.34690981e-07
  1.15735543e-07 -1.28497977e-05]",0.068306,0
"[[199, 195], [265, 201], [220, 202], [205, 187], [269, 192], [226, 194], [217, 188], [230, 203], [246, 194], [236, 195], [250, 185], [210, 196], [255, 201], [273, 184], [210, 205], [240, 186], [274, 200], [259, 186], [201, 203], [229, 186]]",55,0.129557,0.025485,0.032786,"[ 5.02866254e-03 -9.04580585e-03 -2.78345741e-05  2.38520628e-07
  3.26676226e-08  1.60044210e-07]",0.056485,0
"[[199, 195], [265, 201], [220, 203], [206, 188], [269, 192], [226, 195], [217, 189], [230, 203], [246, 195], [236, 196], [250, 186], [210, 196], [255, 201], [273, 184], [210, 205], [240, 187], [273, 200], [259, 188], [201, 204], [229, 187]]",56,0.15035,0.025114,0.032488,"[ 5.33519148e-03 -7.13989435e-03 -2.86535852e-05  3.70349902e-07
  6.64521412e-08 -1.25659918e-05]",0.078772,0
"[[198, 196], [263, 202], [219, 203], [205, 188], [268, 192], [225, 195], [216, 189], [229, 204], [244, 195], [235, 196], [249, 186], [209, 197], [253, 202], [273, 185], [210, 206], [239, 187], [273, 201], [258, 187], [200, 204], [228, 187]]",57,0.109648,0.0292,0.033162,"[ 4.82451106e-03 -9.59629320e-03 -3.67209672e-05  3.01789690e-07
 -2.04288485e-08  7.61457573e-06]",0.036513,0
"[[198, 196], [263, 202], [220, 204], [205, 189], [268, 193], [225, 195], [216, 189], [229, 204], [244, 196], [235, 196], [249, 186], [209, 197], [253, 202], [272, 185], [210, 206], [239, 187], [272, 201], [258, 188], [200, 205], [228, 188]]",58,0.134351,0.023368,0.028147,"[ 5.15993251e-03 -9.13748920e-03 -3.53505373e-05  2.94784288e-07
 -2.96361151e-08  6.98072656e-06]",0.066553,0
"[[198, 197], [263, 203], [220, 204], [204, 189], [268, 194], [224, 196], [215, 190], [229, 205], [244, 196], [235, 197], [249, 188], [209, 198], [253, 203], [272, 186], [210, 207], [239, 188], [272, 202], [258, 189], [200, 205], [227, 189]]",59,0.137466,0.027953,0.031767,"[ 5.55458028e-03 -6.33079973e-03 -1.82470252e-05  2.61777611e-07
  9.70825409e-08 -1.16594964e-05]",0.067014,0
"[[198, 197], [264, 204], [221, 205], [205, 190], [268, 194], [226, 197], [216, 191], [231, 205], [246, 197], [236, 198], [249, 188], [210, 198], [255, 204], [272, 187], [210, 207], [240, 189], [273, 203], [258, 189], [200, 206], [229, 189]]",60,0.124387,0.025891,0.029893,"[ 5.88893481e-03 -6.96623119e-03 -1.70247897e-05  1.86405769e-07
  7.37375819e-08 -4.22596916e-06]",0.056627,0
"[[197, 197], [263, 204], [220, 205], [204, 190], [267, 195], [224, 197], [215, 191], [230, 206], [245, 198], [235, 198], [248, 188], [209, 198], [254, 204], [272, 187], [210, 207], [239, 189], [272, 203], [257, 189], [200, 206], [228, 189]]",61,0.135984,0.023975,0.028126,"[ 5.95675951e-03 -6.56266426e-03 -1.14741209e-05  1.43196990e-07
  9.57158214e-08 -4.99374028e-06]",0.067435,0
"[[197, 198], [262, 204], [219, 206], [204, 191], [267, 195], [224, 197], [215, 191], [230, 206], [244, 198], [234, 199], [247, 188], [208, 199], [253, 205], [271, 188], [209, 208], [238, 189], [271, 203], [257, 190], [199, 207], [227, 190]]",62,0.152975,0.025718,0.029701,"[ 5.34757353e-03 -7.38057159e-03 -2.21803508e-05  1.95641892e-07
  3.01344701e-08  1.63943076e-07]",0.085273,0
"[[197, 198], [263, 205], [219, 206], [204, 191], [266, 195], [224, 198], [215, 192], [229, 207], [245, 198], [234, 199], [247, 189], [208, 199], [253, 205], [271, 188], [209, 208], [238, 190], [271, 204], [257, 191], [199, 207], [227, 190]]",63,0.117578,0.026391,0.030444,"[ 5.78979837e-03 -6.57530688e-03 -1.61255305e-05  1.86634691e-07
  7.35557892e-08 -2.49419555e-06]",0.047641,0
"[[196, 199], [262, 205], [217, 206], [203, 191], [266, 196], [222, 198], [214, 192], [227, 207], [243, 198], [233, 199], [247, 188], [207, 200], [252, 204], [271, 188], [208, 209], [237, 190], [270, 204], [256, 190], [199, 207], [226, 190]]",64,0.133169,0.023686,0.027977,"[ 4.35078991e-03 -8.27562593e-03 -3.20598317e-05  2.60783724e-07
 -6.80140370e-10  3.63812661e-06]",0.066812,0
