keypoints,iteration_number,delta_loop,delta_interference,delta_extract_featurepoints,dp,delta_camera,lin_factor
"[[223, 168], [288, 181], [245, 182], [264, 169], [256, 182], [268, 179], [228, 176], [291, 165]]",47,0.136474,0.023712,0.027513,"[-1.59664057e-03 -5.51839078e-02 -1.45980944e-04 -1.56610621e-06
 -1.35959616e-06  3.06050075e-04]",0.069821,0
"[[223, 168], [288, 181], [245, 182], [264, 169], [256, 182], [268, 179], [228, 176], [291, 165]]",48,0.133282,0.023565,0.027832,"[-1.59664057e-03 -5.51839078e-02 -1.45980944e-04 -1.56610621e-06
 -1.35959616e-06  3.06050075e-04]",0.066494,0
"[[223, 168], [288, 181], [245, 182], [264, 169], [256, 182], [268, 179], [228, 177], [291, 165]]",49,0.135491,0.025104,0.029008,"[-1.54931676e-03 -5.46199561e-02 -1.44125597e-04 -1.55572188e-06
 -1.34302877e-06  3.01353399e-04]",0.067096,0
"[[223, 168], [288, 181], [245, 182], [264, 169], [256, 182], [268, 179], [228, 177], [292, 165]]",50,0.123353,0.023637,0.027473,"[-2.41130089e-03 -5.57623353e-02 -1.55817110e-04 -1.45863496e-06
 -1.37278556e-06  3.06110543e-04]",0.057385,0
"[[224, 168], [288, 181], [245, 182], [264, 169], [256, 182], [268, 179], [228, 177], [292, 165]]",51,0.136149,0.024564,0.028296,"[-2.32323836e-03 -5.68992201e-02 -1.63216698e-04 -1.42714137e-06
 -1.42394112e-06  3.16674803e-04]",0.069532,0
"[[224, 168], [288, 181], [245, 182], [264, 169], [256, 182], [268, 179], [228, 177], [292, 165]]",52,0.13549,0.024349,0.028306,"[-2.32323836e-03 -5.68992201e-02 -1.63216698e-04 -1.42714137e-06
 -1.42394112e-06  3.16674803e-04]",0.067284,0
"[[224, 168], [288, 181], [245, 182], [265, 169], [256, 182], [269, 179], [228, 177], [292, 165]]",53,0.135376,0.023955,0.027786,"[-2.89448239e-03 -5.81162160e-02 -1.71649283e-04 -1.40312003e-06
 -1.46754494e-06  3.23657679e-04]",0.068853,0
"[[224, 169], [288, 181], [245, 182], [265, 169], [256, 182], [268, 179], [228, 177], [292, 165]]",54,0.141268,0.025074,0.028952,"[-3.33486536e-03 -5.87915333e-02 -1.78132525e-04 -1.38071749e-06
 -1.50721379e-06  3.27340669e-04]",0.073603,0
"[[224, 169], [288, 181], [245, 182], [264, 169], [256, 182], [268, 179], [228, 177], [292, 165]]",55,0.127774,0.025129,0.028957,"[-2.61020023e-03 -5.71700078e-02 -1.65242796e-04 -1.43676612e-06
 -1.44044063e-06  3.17434447e-04]",0.059756,0
"[[224, 169], [288, 181], [245, 182], [264, 169], [256, 183], [268, 179], [228, 177], [292, 165]]",56,0.123666,0.023597,0.027486,"[-2.63421230e-03 -5.71868413e-02 -1.65827321e-04 -1.42980116e-06
 -1.44199889e-06  3.17542452e-04]",0.056829,0
